X_ext,Y_ext,X_int,Y_int,X_central,Y_central
1.0,32.0,12.0,32.0,7.0,32.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,35.0,7.0,30.0
1.0,33.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,8.0,26.0
2.0,37.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,39.0,8.0,24.0
2.0,41.0,13.0,39.0,8.0,23.0
2.0,41.0,13.0,39.0,8.0,23.0
2.0,41.0,14.0,39.0,8.0,23.0
3.0,41.0,14.0,39.0,8.0,23.0
3.0,41.0,14.0,39.0,8.0,23.0
3.0,43.0,14.0,39.0,8.0,23.0
3.0,43.0,14.0,40.0,8.0,23.0
3.0,43.0,14.0,40.0,9.0,22.0
3.0,43.0,14.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,11.0,19.0
5.0,45.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
